Year ,Province ,Division ,District,Usage (in 1000 nutirient tons),Area Sown Total (Wheat),Area Sown (Rice),Area Sown (Cotton),Area Sown (Sugarcane),Wheat Production ,Rice Production ,Cotton Production ,Sugarcane Production,Output/acre wheat,Output/Acre (Rice),Output/Acre (Cotton),Output/Acre (Sugarcane)
2002-03,Punjab,Bahawalpur Divn.                      ,Bahawalpur,114,269,5,268,9,724,7,968,501,2.691449814,1.4,3.611940299,55.66666667
2002-03,Punjab,Bahawalpur Divn.                      ,Bahawalnagar,93,282,41,178,27,695,65,544,1155,2.464539007,1.585365854,3.056179775,42.77777778
2002-03,Punjab,Bahawalpur Divn.                      ,Rahim Yar Khan,168,303,13,307,43,740,19,1076,2620,2.442244224,1.461538462,3.504885993,60.93023256
2002-03,Punjab,D.G.Khan Divn.     ,D.G. Khan,48,156,27,93,3,407,53,411,142,2.608974359,1.962962963,4.419354839,47.33333333
2002-03,Punjab,D.G.Khan Divn.     ,Layyah,48,178,1,29,16,379,1,63,674,2.129213483,1,2.172413793,42.125
2002-03,Punjab,D.G.Khan Divn.     ,Muzaffargarh,87,278,20,189,25,657,32,599,1394,2.363309353,1.6,3.169312169,55.76
2002-03,Punjab,D.G.Khan Divn.     ,Rajanpur,54,135,5,148,5,336,7,651,258,2.488888889,1.4,4.398648649,51.6
2002-03,Punjab,Faisalabad Divn.            ,Faisalabad,91,254,22,32,117,716,33,67,5412,2.818897638,1.5,2.09375,46.25641026
2002-03,Punjab,Faisalabad Divn.            ,Jhang,99,354,79,45,92,916,118,113,4178,2.587570621,1.493670886,2.511111111,45.41304348
2002-03,Punjab,Faisalabad Divn.            ,T.T. Singh,49,147,22,37,46,423,43,95,2147,2.87755102,1.954545455,2.567567568,46.67391304
2002-03,Punjab,Gujranwala Divn.     ,Gujranwala,69,217,231,2,3,604,436,0,98,2.783410138,1.887445887,0,32.66666667
2002-03,Punjab,Gujranwala Divn.     ,Gujrat,22,131,34,0,4,224,53,0,135,1.709923664,1.558823529,0,33.75
2002-03,Punjab,Gujranwala Divn.     ,Hafizabad,41,134,113,0,8,367,203,0,428,2.73880597,1.796460177,0,53.5
